Temperature (K)	Pressure (atm)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/atm)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/atm)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
573.00	84.577	712.44	0.0014036	23.999	24.216	58.617	55.004	103.52	910.22	0.038858	8.5912e-05	0.55287	0.014394	46.053	0.021714	46.188	49.541	102.81	53.487	111.86	480.83	1.9760	1.9572e-05	0.070810
574.00	85.776	710.38	0.0014077	24.096	24.317	58.788	54.983	104.05	904.75	0.040052	8.5535e-05	0.55135	0.014165	46.823	0.021357	46.162	49.506	102.67	53.701	113.16	480.15	1.9604	1.9624e-05	0.071413
575.00	86.987	708.30	0.0014118	24.194	24.418	58.959	54.964	104.59	899.25	0.041274	8.5158e-05	0.54982	0.013937	47.607	0.021005	46.135	49.470	102.53	53.916	114.50	479.46	1.9450	1.9677e-05	0.072029
576.00	88.212	706.21	0.0014160	24.292	24.520	59.131	54.945	105.15	893.71	0.042524	8.4782e-05	0.54828	0.013708	48.404	0.020659	46.107	49.433	102.38	54.132	115.88	478.75	1.9296	1.9731e-05	0.072657
577.00	89.450	704.09	0.0014203	24.390	24.622	59.303	54.928	105.72	888.14	0.043802	8.4406e-05	0.54672	0.013481	49.215	0.020319	46.078	49.396	102.24	54.351	117.30	478.04	1.9144	1.9785e-05	0.073300
578.00	90.701	701.96	0.0014246	24.489	24.725	59.475	54.911	106.31	882.54	0.045111	8.4030e-05	0.54516	0.013253	50.042	0.019983	46.049	49.357	102.09	54.571	118.75	477.31	1.8992	1.9840e-05	0.073956
579.00	91.966	699.81	0.0014290	24.588	24.828	59.647	54.896	106.91	876.90	0.046450	8.3654e-05	0.54358	0.013026	50.883	0.019653	46.019	49.318	101.94	54.793	120.24	476.56	1.8841	1.9896e-05	0.074628
580.00	93.244	697.64	0.0014334	24.688	24.932	59.821	54.881	107.54	871.23	0.047822	8.3278e-05	0.54200	0.012800	51.739	0.019328	45.988	49.278	101.80	55.017	121.78	475.80	1.8691	1.9952e-05	0.075315
581.00	94.536	695.45	0.0014379	24.788	25.036	59.994	54.868	108.18	865.53	0.049226	8.2902e-05	0.54040	0.012574	52.611	0.019007	45.957	49.237	101.65	55.242	123.36	475.03	1.8542	2.0010e-05	0.076018
582.00	95.842	693.24	0.0014425	24.888	25.140	60.168	54.856	108.84	859.78	0.050665	8.2526e-05	0.53879	0.012348	53.499	0.018692	45.924	49.194	101.50	55.469	124.99	474.24	1.8394	2.0067e-05	0.076738
583.00	97.161	691.01	0.0014472	24.989	25.246	60.342	54.845	109.52	854.00	0.052140	8.2150e-05	0.53717	0.012123	54.404	0.018381	45.891	49.151	101.35	55.699	126.66	473.44	1.8247	2.0126e-05	0.077475
584.00	98.495	688.76	0.0014519	25.090	25.351	60.517	54.836	110.22	848.19	0.053651	8.1774e-05	0.53553	0.011898	55.326	0.018075	45.857	49.107	101.20	55.930	128.39	472.63	1.8100	2.0186e-05	0.078231
585.00	99.843	686.48	0.0014567	25.192	25.457	60.693	54.828	110.94	842.34	0.055200	8.1397e-05	0.53389	0.011673	56.265	0.017773	45.823	49.062	101.04	56.163	130.16	471.80	1.7954	2.0246e-05	0.079006
586.00	101.20	684.19	0.0014616	25.294	25.564	60.868	54.821	111.68	836.44	0.056790	8.1021e-05	0.53223	0.011449	57.222	0.017476	45.787	49.016	100.89	56.399	132.00	470.95	1.7809	2.0307e-05	0.079801
587.00	102.58	681.87	0.0014665	25.396	25.671	61.045	54.815	112.45	830.52	0.058420	8.0643e-05	0.53056	0.011226	58.198	0.017183	45.751	48.968	100.73	56.636	133.89	470.09	1.7665	2.0369e-05	0.080616
588.00	103.97	679.53	0.0014716	25.499	25.779	61.222	54.811	113.24	824.55	0.060093	8.0266e-05	0.52888	0.011003	59.193	0.016894	45.714	48.920	100.58	56.876	135.84	469.21	1.7521	2.0432e-05	0.081454
589.00	105.38	677.17	0.0014767	25.603	25.887	61.399	54.809	114.06	818.54	0.061810	7.9887e-05	0.52719	0.010781	60.207	0.016609	45.675	48.870	100.42	57.117	137.86	468.32	1.7378	2.0496e-05	0.082315
590.00	106.80	674.78	0.0014820	25.707	25.996	61.577	54.808	114.91	812.49	0.063573	7.9509e-05	0.52548	0.010559	61.242	0.016329	45.636	48.819	100.26	57.361	139.94	467.41	1.7235	2.0561e-05	0.083199
591.00	108.23	672.37	0.0014873	25.811	26.105	61.756	54.809	115.78	806.40	0.065385	7.9129e-05	0.52376	0.010338	62.297	0.016052	45.596	48.768	100.10	57.608	142.10	466.48	1.7093	2.0627e-05	0.084109
592.00	109.68	669.93	0.0014927	25.916	26.215	61.935	54.811	116.69	800.26	0.067246	7.8749e-05	0.52203	0.010117	63.373	0.015780	45.555	48.714	99.941	57.856	144.32	465.54	1.6952	2.0694e-05	0.085045
593.00	111.15	667.47	0.0014982	26.022	26.326	62.115	54.815	117.63	794.09	0.069159	7.8368e-05	0.52028	0.0098973	64.472	0.015511	45.513	48.660	99.779	58.107	146.63	464.58	1.6811	2.0763e-05	0.086009
594.00	112.63	664.97	0.0015038	26.128	26.437	62.296	54.822	118.60	787.87	0.071126	7.7985e-05	0.51852	0.0096779	65.593	0.015246	45.470	48.604	99.615	58.361	149.02	463.60	1.6671	2.0832e-05	0.087002
595.00	114.12	662.45	0.0015095	26.234	26.549	62.477	54.829	119.61	781.60	0.073150	7.7602e-05	0.51675	0.0094591	66.738	0.014984	45.426	48.547	99.450	58.617	151.50	462.60	1.6531	2.0903e-05	0.088026
596.00	115.63	659.91	0.0015154	26.342	26.662	62.660	54.839	120.65	775.29	0.075233	7.7218e-05	0.51496	0.0092410	67.907	0.014726	45.381	48.489	99.283	58.876	154.07	461.59	1.6392	2.0975e-05	0.089082
597.00	117.16	657.33	0.0015213	26.450	26.775	62.843	54.852	121.74	768.93	0.077378	7.6832e-05	0.51316	0.0090236	69.101	0.014472	45.334	48.429	99.115	59.137	156.74	460.55	1.6253	2.1048e-05	0.090172
598.00	118.70	654.72	0.0015274	26.558	26.889	63.026	54.866	122.87	762.53	0.079587	7.6446e-05	0.51135	0.0088069	70.321	0.014221	45.287	48.368	98.945	59.402	159.51	459.50	1.6114	2.1123e-05	0.091298
599.00	120.26	652.08	0.0015335	26.667	27.004	63.211	54.882	124.04	756.07	0.081863	7.6057e-05	0.50952	0.0085909	71.568	0.013973	45.238	48.306	98.773	59.669	162.40	458.42	1.5976	2.1199e-05	0.092461
600.00	121.83	649.41	0.0015399	26.777	27.119	63.396	54.902	125.26	749.57	0.084210	7.5667e-05	0.50767	0.0083756	72.842	0.013728	45.188	48.242	98.600	59.939	165.40	457.33	1.5838	2.1276e-05	0.093664
601.00	123.42	646.71	0.0015463	26.887	27.236	63.583	54.923	126.54	743.01	0.086631	7.5276e-05	0.50581	0.0081611	74.146	0.013487	45.137	48.176	98.425	60.212	168.52	456.21	1.5700	2.1356e-05	0.094909
602.00	125.03	643.97	0.0015529	26.999	27.353	63.770	54.947	127.86	736.39	0.089129	7.4883e-05	0.50394	0.0079474	75.479	0.013249	45.085	48.109	98.248	60.489	171.78	455.07	1.5563	2.1436e-05	0.096199
603.00	126.65	641.19	0.0015596	27.111	27.471	63.958	54.974	129.25	729.72	0.091709	7.4487e-05	0.50205	0.0077345	76.843	0.013014	45.031	48.040	98.069	60.768	175.17	453.91	1.5426	2.1519e-05	0.097535
604.00	128.29	638.38	0.0015665	27.223	27.590	64.148	55.004	130.70	722.99	0.094375	7.4090e-05	0.50014	0.0075224	78.239	0.012781	44.976	47.969	97.888	61.052	178.72	452.73	1.5289	2.1603e-05	0.098921
605.00	129.95	635.53	0.0015735	27.337	27.710	64.338	55.038	132.22	716.21	0.097132	7.3691e-05	0.49822	0.0073112	79.669	0.012552	44.919	47.897	97.705	61.338	182.43	451.52	1.5152	2.1690e-05	0.10036
606.00	131.62	632.64	0.0015807	27.451	27.831	64.530	55.074	133.80	709.36	0.099983	7.3289e-05	0.49628	0.0071008	81.134	0.012325	44.861	47.823	97.520	61.629	186.31	450.29	1.5015	2.1778e-05	0.10185
607.00	133.31	629.71	0.0015880	27.566	27.953	64.723	55.114	135.47	702.44	0.10294	7.2885e-05	0.49433	0.0068914	82.634	0.012102	44.802	47.747	97.332	61.923	190.38	449.04	1.4878	2.1868e-05	0.10341
608.00	135.02	626.74	0.0015956	27.682	28.075	64.917	55.158	137.22	695.45	0.10600	7.2477e-05	0.49235	0.0066830	84.173	0.011880	44.740	47.669	97.142	62.221	194.65	447.76	1.4742	2.1961e-05	0.10503
609.00	136.75	623.72	0.0016033	27.799	28.199	65.112	55.206	139.06	688.40	0.10917	7.2068e-05	0.49037	0.0064755	85.750	0.011662	44.678	47.589	96.950	62.524	199.13	446.45	1.4605	2.2056e-05	0.10671
610.00	138.49	620.65	0.0016112	27.917	28.324	65.309	55.258	141.00	681.27	0.11246	7.1655e-05	0.48836	0.0062690	87.369	0.011446	44.613	47.506	96.755	62.831	203.84	445.11	1.4468	2.2153e-05	0.10847
